City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Labuhan,ID,-6.8844,112.2051,77.07,92,100,3.76,heavy intensity rain
80,San Ciro De Acosta,MX,21.6333,-99.8167,88.54,29,100,6.67,overcast clouds
81,Cherskiy,RU,68.75,161.3,-2.99,89,100,2.21,overcast clouds
82,Jiuquan,CN,39.7432,98.5174,43.72,51,100,8.43,overcast clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,69,40,14.97,scattered clouds
84,Geraldton,AU,-28.7667,114.6,68.0,77,11,8.05,few clouds
85,Bredasdorp,ZA,-34.5322,20.0403,62.6,77,100,3.44,overcast clouds
86,Yugorsk,RU,61.3133,63.3319,32.52,84,100,12.71,overcast clouds
87,Severo-Kurilsk,RU,50.6789,156.125,35.42,97,100,14.92,moderate rain
88,Talaya,RU,61.3833,152.75,8.6,96,100,3.58,overcast clouds
89,Mirnyy,RU,62.5353,113.9611,-5.33,100,92,3.38,overcast clouds
90,Kindu,CD,-2.95,25.95,71.06,97,100,2.08,light rain
91,Tanete,ID,-3.9443,119.7848,75.6,95,100,2.77,overcast clouds
92,Temir,KZ,49.1414,57.13,9.32,99,68,3.06,broken clouds
93,Padang,ID,-0.9492,100.3543,75.29,88,100,3.13,light rain
94,Waiuku,NZ,-37.25,174.75,60.01,94,75,3.44,broken clouds
95,Lata,PT,40.1629,-8.3327,75.2,35,0,4.61,clear sky
96,Adre,TD,13.4667,22.2,78.42,13,27,3.69,scattered clouds
97,Ancud,CL,-41.8697,-73.8203,69.01,72,75,6.91,broken clouds
98,Odesskoye,RU,54.2111,72.9651,9.77,95,99,7.9,overcast clouds
99,Suba,PH,10.8438,121.0102,82.24,80,100,15.55,overcast clouds
100,Codrington,AU,-38.2667,141.9667,60.35,62,40,7.85,scattered clouds
101,Narsaq,GL,60.9167,-46.05,35.6,80,75,10.36,broken clouds
102,Clyde River,CA,70.4692,-68.5914,-4.0,59,75,3.44,broken clouds
103,Lebu,CL,-37.6167,-73.65,61.72,78,100,15.88,overcast clouds
104,Iberia,US,29.9502,-91.7507,82.0,78,90,12.66,overcast clouds
105,Port Lincoln,AU,-34.7333,135.8667,67.1,63,68,6.24,broken clouds
106,Dingle,PH,10.9995,122.6711,76.37,89,96,7.4,overcast clouds
107,Aban,RU,56.67,96.06,15.91,86,95,7.85,overcast clouds
108,Jamestown,US,42.097,-79.2353,42.01,87,90,10.36,overcast clouds
109,Chernyshevskiy,RU,63.0128,112.4714,-13.63,100,94,3.18,overcast clouds
110,Pokhara,NP,28.2333,83.9833,64.94,47,0,5.75,clear sky
111,Saskylakh,RU,71.9167,114.0833,-32.6,100,100,6.49,overcast clouds
112,Touros,BR,-5.1989,-35.4608,86.0,70,40,14.97,scattered clouds
113,Ust-Kalmanka,RU,52.1207,83.305,19.0,94,100,3.2,overcast clouds
114,Atuona,PF,-9.8,-139.0333,80.58,75,95,12.95,overcast clouds
115,Thanh Hoa,VN,19.8,105.7667,72.99,94,11,4.03,few clouds
116,Norman Wells,CA,65.282,-126.8329,5.0,72,75,3.44,broken clouds
117,Te Anau,NZ,-45.4167,167.7167,41.34,93,22,1.7,few clouds
118,Maralal,KE,1.0968,36.698,64.22,67,92,9.57,overcast clouds
119,Roma,US,43.2128,-75.4557,55.0,82,90,6.91,overcast clouds
120,Airai,TL,-8.9266,125.4092,59.25,95,100,1.05,overcast clouds
121,Butaritari,KI,3.0707,172.7902,80.28,84,99,13.76,moderate rain
122,Simbahan,PH,6.3032,120.5836,81.0,82,100,15.52,overcast clouds
123,Imelda,PH,7.65,123.95,77.83,91,70,3.02,broken clouds
124,Ostrovnoy,RU,68.0531,39.5131,24.26,97,100,1.86,overcast clouds
125,Kapaa,US,22.0752,-159.319,73.99,83,75,8.05,light rain
126,Aklavik,CA,68.2191,-135.0107,-4.0,71,90,9.22,light snow
127,Tanout,NE,14.9709,8.8879,75.63,8,0,11.12,clear sky
128,Brigantine,US,39.4101,-74.3646,64.4,68,75,18.41,broken clouds
129,Ballina,AU,-28.8667,153.5667,64.4,88,75,13.8,broken clouds
130,Honningsvag,NO,70.9821,25.9704,35.6,80,75,20.71,light rain
131,Poso,ID,-1.3959,120.7524,80.01,81,100,4.05,overcast clouds
132,Urengoy,RU,65.9667,78.3667,-16.28,97,29,8.79,scattered clouds
133,Faanui,PF,-16.4833,-151.75,81.43,74,40,6.67,scattered clouds
134,Pisco,PE,-13.7,-76.2167,75.2,64,0,9.22,clear sky
135,Waingapu,ID,-9.6567,120.2641,76.98,87,99,5.03,overcast clouds
136,Saint Anthony,US,45.0205,-93.218,33.01,37,40,16.11,scattered clouds
137,Saldanha,ZA,-33.0117,17.9442,64.4,72,100,6.91,overcast clouds
138,Bushehr,IR,28.9684,50.8385,71.6,64,0,4.61,clear sky
139,Balotra,IN,25.8333,72.2333,77.45,4,0,6.53,clear sky
140,Yerbogachen,RU,61.2767,108.0108,6.15,98,100,3.04,overcast clouds
141,Toora-Khem,RU,52.4675,96.11,17.24,96,80,1.7,broken clouds
142,Alofi,NU,-19.0595,-169.9187,78.8,89,18,8.05,few clouds
143,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,40,18.41,snow
144,Yaan,NG,7.3833,8.5667,90.84,10,100,2.51,overcast clouds
145,Upernavik,GL,72.7868,-56.1549,6.33,68,100,4.79,overcast clouds
146,Cerro Largo,BR,-28.1486,-54.7381,77.0,47,40,13.8,scattered clouds
147,Thompson,CA,55.7435,-97.8558,23.0,39,20,11.5,few clouds
148,Boromlya,UA,50.6184,34.9704,45.9,58,99,8.39,overcast clouds
149,Ribeira Grande,PT,38.5167,-28.7,60.8,63,20,16.11,few clouds
150,Kuhdasht,IR,33.535,47.6061,59.72,49,100,5.3,overcast clouds
151,Pevek,RU,69.7008,170.3133,-17.57,96,81,1.14,broken clouds
152,Los Alamos,US,35.8881,-106.307,45.0,14,1,3.96,clear sky
153,Vertientes,CU,21.2594,-78.1464,87.8,45,40,13.8,scattered clouds
154,Cabo San Lucas,MX,22.8909,-109.9124,91.4,39,20,11.5,few clouds
155,Zhangjiakou,CN,40.81,114.8794,52.41,35,100,9.01,overcast clouds
156,Bluff,NZ,-46.6,168.3333,37.99,94,17,1.99,few clouds
