City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Santo Antonio Do Ica,BR,82.11,overcast clouds,-3.1022,-67.9397,Hotel Fogaça
222,Sao Filipe,CV,70.95,clear sky,14.8961,-24.4956,Tortuga B&B
226,Trairi,BR,79.79,overcast clouds,-3.2778,-39.2689,janelas do mar
229,Mindelo,CV,73.4,broken clouds,16.8901,-24.9804,Hotel Gaudi
232,Imbituba,BR,78.8,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
233,Sola,VU,78.8,overcast clouds,-13.8833,167.55,Leumerus Bungalows
234,Auki,SB,77.36,heavy intensity rain,-8.7676,160.7034,Auki Motel
238,Brawley,US,82.0,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
241,Takoradi,GH,81.14,scattered clouds,4.8845,-1.7554,Raybow International Hotel
242,Port Hedland,AU,75.2,clear sky,-20.3167,118.5667,The Esplanade Hotel
248,Mareeba,AU,75.99,light rain,-17.0,145.4333,Trinity Plains Tourist Park
257,Daru,PG,77.54,moderate rain,-9.0763,143.2092,Daru Lodge
261,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
262,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
266,Sorong,ID,80.91,overcast clouds,-0.8833,131.25,The Waigo Hotel
267,Lompoc,US,78.01,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
269,Domoni,KM,80.76,scattered clouds,-12.2569,44.5319,Al Djadid
271,Salinopolis,BR,80.28,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
273,Banjar,ID,80.6,scattered clouds,-8.19,114.9675,The Hamsa Resort
275,Bilma,NE,75.72,clear sky,18.6853,12.9164,Expeditions Ténére voyages
276,Hithadhoo,MV,83.35,scattered clouds,-0.6,73.0833,Scoop Guest House
279,Puerto Ayora,EC,81.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
280,Mount Isa,AU,73.4,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
282,Kirakira,SB,79.72,broken clouds,-10.4544,161.9205,SanBiz Lodge
283,Congonhas,BR,87.8,few clouds,-20.4997,-43.8578,Dinâmica Assessoria Empresarial
285,Vila Velha,BR,82.99,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
288,Sur,OM,79.97,clear sky,22.5667,59.5289,Sur Plaza Hotel
290,Los Llanos De Aridane,ES,71.6,few clouds,28.6585,-17.9182,Valle Aridane
294,Meiganga,CM,74.75,few clouds,6.5167,14.3,DFR HOUSE
304,Guilin,CN,71.6,mist,25.2819,110.2864,Grand 0773 Hotel
305,Hobyo,SO,80.76,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
306,Sao Joao Da Barra,BR,86.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
308,Nikki,BJ,87.03,scattered clouds,9.9401,3.2108,Hotel John
311,Yola,NG,88.77,broken clouds,9.2,12.4833,Muna Hotel
314,Chimbote,PE,74.55,few clouds,-9.0853,-78.5783,Hotel Viera Chimbote
317,Kismayo,SO,81.39,broken clouds,-0.3582,42.5454,Agan-Hotel
318,Pilar,BR,87.8,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
319,Pacific Grove,US,79.0,clear sky,36.6177,-121.9166,Lovers Point Inn
324,Vilhena,BR,75.2,heavy intensity rain,-12.7406,-60.1458,Hotel Mirage
327,Buraydah,SA,84.2,broken clouds,26.326,43.975,فندق راحة السلام
328,Areosa,PT,75.99,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
330,Tambura,SS,83.71,overcast clouds,5.6,27.4667,Rikito Lodge
333,Tshela,CD,72.14,moderate rain,-4.9833,12.9333,Hotel Mirador
334,Taloda,IN,82.26,clear sky,21.5667,74.2167,பக்ருதீன் அலி
335,Pombas,CV,73.4,broken clouds,17.1503,-25.0201,POUSADA O RECANTO
339,La Macarena,CO,72.9,light rain,2.1837,-73.7849,Hotel Punto Verde
341,Bandarbeyla,SO,78.33,clear sky,9.4942,50.8122,JABIR HOTEL
342,Najran,SA,77.0,clear sky,17.4924,44.1277,محمد هادي ال فطيح
344,Presidencia Roque Saenz Pena,AR,79.0,scattered clouds,-26.7852,-60.4388,Hotel Gualok
346,Ormara,PK,83.44,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
348,Half Moon Bay,US,71.01,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
352,Tautira,PF,84.2,light rain,-17.7333,-149.15,Pension Oaoa
353,Maldonado,UY,71.6,scattered clouds,-34.6667,-54.9167,La Cimarrona
355,Limon,CR,77.0,drizzle,10.0,-83.0333,Hotel Playa Bonita
356,La Romana,DO,87.8,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
357,Tabou,CI,79.81,overcast clouds,4.423,-7.3528,hotêl doufoulougou
360,De Aar,ZA,71.8,overcast clouds,-30.6497,24.0123,Stoneburgh B&B
362,General Roca,AR,82.4,few clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
363,Sokoni,TZ,82.49,light rain,-6.4333,39.55,Ujamaa Beach Resort
368,Turiacu,BR,79.83,moderate rain,-1.6633,-45.3717,Pousada Maranata
371,Salinas,US,79.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
372,Denpasar,ID,80.6,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
374,Narasannapeta,IN,78.94,clear sky,18.4167,84.05,G.lingaraju home
377,Kapoeta,SS,81.79,overcast clouds,4.7717,33.5903,Eastgate Hotel
383,Muisne,EC,82.4,scattered clouds,0.6,-80.0333,Quinta Samay
385,Hualmay,PE,74.43,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
386,Harper,LR,79.77,overcast clouds,4.375,-7.7169,Screensaver
388,Qiongshan,CN,77.0,clear sky,20.0058,110.3542,Sun City Restaurant
395,Hue,VN,77.72,few clouds,16.4667,107.6,Saigon Morin Hotel
396,Sinnamary,GF,80.96,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
399,Cap Malheureux,MU,77.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
